index,X_img,Y_img,latitude,longitude
902,101576,31215,-22.903761099999997,-43.40155899999999
903,103365,31145,-22.9034478,-43.393528999999994
904,104317,31145,-22.9034507,-43.3892592
905,105238,31144,-22.903444800000003,-43.3851224
906,106790,31142,-22.903434999999998,-43.3781594
907,107661,31137,-22.9034141,-43.37424910000001
908,108926,31309,-22.9041865,-43.368571599999996
909,110200,31959,-22.9071005,-43.362854999999996
910,111978,32725,-22.9105409,-43.3548762
911,72767,15945,-22.835234999999997,-43.5308522
912,72836,15857,-22.8348395,-43.5305411
913,73797,16950,-22.839743900000002,-43.5262281
914,74889,18336,-22.8459631,-43.521325000000004
915,73689,16972,-22.839842800000003,-43.5267109
916,75205,18536,-22.846862800000004,-43.519908799999996
917,101808,31426,-22.904709900000004,-43.4005183
918,103208,31271,-22.904015599999994,-43.3942327
919,101853,31453,-22.9048315,-43.4003159
920,103208,31306,-22.904172499999994,-43.3942368
921,103605,31354,-22.904386700000003,-43.392454699999995
922,101894,31482,-22.904963600000002,-43.40012969999995
923,103183,31342,-22.90433519999995,-43.39434539999999
924,103606,31382,-22.9045142,-43.3924493
925,103510,31308,-22.9041824,-43.392881200000005
926,104497,31428,-22.9047179,-43.388449400000006
927,105562,31546,-22.905246599999998,-43.38367
928,105979,31595,-22.9054667,-43.38179939999999
929,104493,31455,-22.9048406,-43.3884698
930,105559,31579,-22.9053963,-43.3836849
931,105976,31627,-22.905612500000004,-43.3818115
932,104488,31487,-22.9049828,-43.388488100000004
933,105553,31610,-22.9055374,-43.38371070000001
934,105971,31657,-22.905745700000004,-43.381834
935,107277,31804,-22.906407299999998,-43.3759753
936,107734,31832,-22.906530900000003,-43.37392189999995
937,107280,31777,-22.906283300000002,-43.375960799999994
938,107732,31799,-22.906386,-43.37392979999999
939,107284,31745,-22.906140500000003,-43.3759442
940,107730,31767,-22.9062422,-43.373941300000006
941,109037,31503,-22.905056899999998,-43.368074199999995
942,110032,31957,-22.9070954,-43.36360890000001
943,109031,31538,-22.9052126,-43.3681001
944,110020,31986,-22.9072237,-43.363664299999996
945,109027,31571,-22.9053589,-43.368118599999995
946,110365,32110,-22.907778200000003,-43.3621167
947,111480,32817,-22.910953999999997,-43.3571101
948,111813,33028,-22.911898100000002,-43.355618299999996
949,112673,33115,-22.9122889,-43.35175769999999
950,110352,32136,-22.907896599999997,-43.3621731
951,111800,33057,-22.9120311,-43.3556768
952,112691,33147,-22.912433099999998,-43.351674700000004
953,110334,32165,-22.908028199999997,-43.36225590000001
954,111431,32856,-22.9111301,-43.3573322
955,111769,33075,-22.9121113,-43.3558158
956,112694,33177,-22.912570199999998,-43.351662399999995
957,111452,32834,-22.9110272,-43.3572344
958,112684,33026,-22.9118925,-43.3517088
959,113776,32834,-22.9110294,-43.3468083
960,113814,32908,-22.9113605,-43.3466344
961,113829,32941,-22.9115075,-43.3465705
962,115105,31961,-22.90711,-43.340841899999994
963,116794,31831,-22.9065287,-43.3332625
964,117806,32223,-22.9082874,-43.3287209
965,119027,32728,-22.910554599999998,-43.3232415
966,120797,32912,-22.9113807,-43.3152992
967,122272,33055,-22.912023,-43.308679500000004
968,123105,33430,-22.9137058,-43.30493779999999
969,112958,32935,-22.9114806,-43.35047959999999
970,113137,32808,-22.9109138,-43.3496744
971,76304,19794,-22.8525068,-43.51497759999999
972,76203,19829,-22.852665000000002,-43.51542820000005
973,96678,34354,-22.917849,-43.423542
974,96416,33509,-22.914057399999997,-43.424715899999995
975,96641,33049,-22.911991999999994,-43.42370729999995
976,97917,32150,-22.907959900000005,-43.41797809999999
977,98441,31774,-22.90627,-43.415628499999954
978,99105,31702,-22.9059484,-43.4126464
979,100402,31570,-22.9053576,-43.406827400000005
980,96873,34776,-22.9197426,-43.422665300000006
981,96717,34348,-22.917822500000003,-43.423364
982,96450,33511,-22.9140673,-43.4245657
983,96672,33066,-22.912070999999997,-43.4235679
984,97958,32155,-22.907979700000002,-43.41779580000001
985,98458,31804,-22.906408300000002,-43.4155534
986,99129,31734,-22.906092100000002,-43.412538600000005
987,100406,31604,-22.9055106,-43.4068089
988,97069,35270,-22.9219616,-43.4217864
989,97197,35228,-22.9217713,-43.421211799999995
990,96949,34750,-22.919627499999997,-43.4223243
991,96746,34337,-22.917773099999998,-43.42323529999996
992,96490,33504,-22.914037600000054,-43.4243833
993,96698,33088,-22.912169900000002,-43.423449899999994
994,98025,32148,-22.907949999999996,-43.4174953
995,98447,31850,-22.9066131,-43.4156005
996,99156,31767,-22.9062411,-43.4124198
997,100347,31641,-22.9056749,-43.4070727
998,96874,35372,-22.9224175,-43.42265899999999
999,96729,34768,-22.9197099,-43.4233104
1000,96643,34398,-22.9180497,-43.4236966
1001,96804,35144,-22.9213966,-43.422974100000005
1002,96634,34733,-22.919551799999997,-43.423739499999996
1003,96559,34442,-22.9182461,-43.424075800000004
1004,96839,35383,-22.9224669,-43.4228168
1005,96531,34731,-22.919541899999995,-43.4242009
1006,96465,34476,-22.9183987,-43.424496299999994
1007,115133,32033,-22.907435200000002,-43.34071490000001
1008,116936,31943,-22.9070285,-43.332625
1009,119057,32820,-22.910966600000002,-43.3231045
1010,115148,32068,-22.907590100000004,-43.34065079999999
1011,116930,31979,-22.907190299999996,-43.332653400000005
1012,119045,32852,-22.911110100000002,-43.3231586
1013,120748,32993,-22.911744900000002,-43.3155178
1014,122254,33139,-22.9123972,-43.308758600000004
1015,120726,33022,-22.911873399999998,-43.31561430000001
1016,121893,33132,-22.912367499999952,-43.3103786
1017,122266,33181,-22.912584899999995,-43.308704900000045
1018,121897,33104,-22.912242599999995,-43.31035979999999
1019,121785,33008,-22.911811200000002,-43.3108622
1020,124016,34205,-22.9171826,-43.3008517
1021,123024,33460,-22.913838799999997,-43.30530240000001
1022,123988,34235,-22.9173173,-43.300978699999995
1023,123010,33486,-22.913957300000003,-43.3053668
1024,123629,33978,-22.9161611,-43.30258800000001
1025,123964,34266,-22.917455599999997,-43.30108599999999
1026,123648,33955,-22.9160622,-43.3025022
1027,125168,34364,-22.9178936,-43.2956798
1028,125134,34390,-22.918010400000004,-43.295835
1029,125772,34428,-22.918183200000005,-43.292969400000004
1030,125761,34457,-22.9183123,-43.2930175
1031,133463,37115,-22.930242800000002,-43.25845170000005
1032,130768,35905,-22.924811599999998,-43.2705484
1033,144061,36521,-22.9275771,-43.2108917
1034,137403,39401,-22.940501100000002,-43.24077150000001
1035,131795,36373,-22.926910800000005,-43.26594109999999
1036,126982,34711,-22.919454500000004,-43.2875385
1037,142349,36988,-22.929671900000006,-43.2185736
1038,122755,32351,-22.9088627,-43.3065097
1039,130108,35733,-22.9240408,-43.2735094
1040,126173,34472,-22.918382299999998,-43.291170199999996
1041,132314,36512,-22.927534499999997,-43.2636121
1042,135730,38067,-22.934513600000006,-43.24828169999999
1043,132502,37566,-22.9322657,-43.2627656
1044,144025,36563,-22.927764800000002,-43.211052699999996
1045,132349,36652,-22.928163500000004,-43.263452300000004
1046,141469,37254,-22.9308675,-43.22252179999999
1047,134675,37613,-22.9324781,-43.253013100000004
1048,128819,35673,-22.92377169999995,-43.2792964
1049,142309,37050,-22.929948599999996,-43.218756
1050,125187,33714,-22.9149779,-43.29559590000001
1051,127927,35107,-22.921230499999997,-43.2832989
1052,136700,39342,-22.940234399999998,-43.2439258
1053,136712,39309,-22.940086200000003,-43.243872200000006
1054,131173,36074,-22.925568200000004,-43.2687328
1055,132314,36656,-22.9281825,-43.2636107
1056,128806,35737,-22.924055300000003,-43.2793518
1057,124157,33154,-22.9124639,-43.300218399999956
1058,126845,34874,-22.920185699999998,-43.2881554
1059,130066,35782,-22.924260399999998,-43.27369899999999
1060,129624,35784,-22.924267600000004,-43.2756824
1061,125196,33580,-22.9143751,-43.295553
1062,127869,35724,-22.9240012,-43.2835602
1063,135713,38133,-22.93481,-43.248356800000046
1064,137379,39368,-22.940352899999997,-43.2408788
1065,124280,33083,-22.912146800000002,-43.299664299999996
1066,135328,37862,-22.933594600000003,-43.2500842
1067,132350,36598,-22.927921399999995,-43.26345049999995
1068,127035,34601,-22.9189604,-43.2873025
1069,130790,35875,-22.924676499999997,-43.270449199999995
1070,128834,35618,-22.923523400000047,-43.27923010000001
1071,129960,35843,-22.9245346,-43.2741742
1072,135782,38049,-22.9344345,-43.248045700000006
1073,126159,34501,-22.918510799999996,-43.2912346
1074,141446,37371,-22.9313912,-43.222629100000006
1075,134656,37565,-22.932260699999997,-43.253099
1076,144018,36603,-22.927942699999996,-43.2110848
1077,134702,37530,-22.9321026,-43.252895099999996
1078,133564,37093,-22.9301448,-43.2579987
1079,140140,38090,-22.934615600000004,-43.2284876
1080,127839,35196,-22.921627700000002,-43.2836957
1081,129640,35708,-22.923925200000003,-43.275611299999994
1082,127900,35691,-22.9238489,-43.283419900000005
1083,132460,37556,-22.932221199999997,-43.2629534
1084,141486,37290,-22.9310256,-43.22244669999999
1085,140063,38066,-22.934507699999997,-43.2288341
1086,131027,36053,-22.9254751,-43.269387800000004
1087,136705,39386,-22.940432,-43.2439043
1088,132310,36543,-22.927673700000003,-43.26362940000006
1089,126244,34297,-22.917596700000004,-43.2908537
1090,142237,37118,-22.930254900000005,-43.2190778
1091,135223,37869,-22.933624299999998,-43.25055620000001
1092,131814,36305,-22.926606200000002,-43.2658553
1093,130741,35934,-22.924940300000003,-43.2706687
1094,138364,38930,-22.9383867,-43.2364585
1095,126277,34187,-22.9171026,-43.290703500000006
1096,131774,36327,-22.926703300000003,-43.266032700000004
1097,138331,38912,-22.938307700000003,-43.23660869999999
1098,137508,39436,-22.940659199999995,-43.2402995
1099,126826,34901,-22.920304299999998,-43.288241299999996
1100,129005,36665,-22.928224300000004,-43.2784619
1101,138381,38963,-22.938535000000005,-43.2363834
1102,133507,37098,-22.9301637,-43.2582577
1103,135395,37849,-22.933535399999997,-43.2497838
1104,129594,35662,-22.923720699999997,-43.275817800000006
1105,140042,38041,-22.9343996,-43.2289279
1106,119078,33884,-22.915739499999997,-43.323012199999994
1107,117115,27733,-22.888135600000002,-43.3318214
1108,119900,30762,-22.9017321,-43.3193235
1109,118988,30207,-22.8992399,-43.32341529999999
1110,115632,29437,-22.895784399999997,-43.3384778
1111,116797,27279,-22.8860969,-43.333247
1112,116645,31995,-22.9072623,-43.33393189999999
1113,116735,27262,-22.886022799999953,-43.3335259
1114,119094,34651,-22.919182600000003,-43.3229387
1115,117504,28243,-22.890425399999998,-43.3300763
1116,114736,31359,-22.9044088,-43.342496600000004
1117,117580,28183,-22.890156800000003,-43.32973460000001
1118,120897,31366,-22.904443099999998,-43.31484759999999
1119,114979,30875,-22.902239499999997,-43.3414076
1120,121385,31651,-22.905719400000002,-43.3126579
1121,115013,30890,-22.902303699999997,-43.3412574
1122,115601,29415,-22.895686799999996,-43.3386181
1123,114773,31372,-22.9044681,-43.3423303
1124,117202,27701,-22.8879922,-43.331429799999995
1125,118267,29098,-22.894263300000002,-43.32665269999995
1126,119075,32927,-22.91144450000005,-43.32302500000001
1127,121668,31768,-22.906243399999997,-43.3113888
1128,116067,27924,-22.8889955,-43.336526000000006
1129,116036,27894,-22.8888571,-43.3366655
1130,113810,32373,-22.908959799999995,-43.346654
1131,115975,28103,-22.8897961,-43.336938999999994
1132,116642,31961,-22.9071134,-43.3339443
1133,116710,27239,-22.885921500000002,-43.3336386
1134,121689,31695,-22.905917799999997,-43.311295400000006
1135,115483,30013,-22.898370200000002,-43.339143799999995
1136,119675,35784,-22.9242682,-43.32033070000005
1137,122464,32221,-22.9082779,-43.3078156
1138,119117,30207,-22.899237900000003,-43.3228359
1139,116012,28112,-22.889835599999998,-43.336772700000004
1140,120145,38788,-22.9377506,-43.318222299999995
1141,114471,31939,-22.907014699999998,-43.3436887
1142,115445,30001,-22.8983158,-43.3393155
1143,119174,30459,-22.900368800000003,-43.3225807
1144,117755,28572,-22.891901400000002,-43.3289514
1145,113482,32584,-22.9099085,-43.3481239
1146,118182,29137,-22.8944396,-43.3270339
1147,114515,31777,-22.9062865,-43.343489000000005
1148,117829,28523,-22.8916839,-43.3286188
1149,119285,30428,-22.900229799999998,-43.32208249999999
1150,120801,31235,-22.9038548,-43.3152811
1151,120000,37606,-22.932443600000003,-43.3188752
1152,122560,32158,-22.907996199999953,-43.3073865
1153,121430,31591,-22.905452500000003,-43.3124546
1154,119813,30805,-22.901921199999997,-43.319711500000004
1155,122813,32271,-22.9085026,-43.3062503
1156,116866,27243,-22.8859364,-43.332938500000004
1181,107940,15600,-22.833682799999995,-43.3729989
1182,109786,17497,-22.8421979,-43.3647124
1183,111009,18836,-22.8482066,-43.35922300000001
1184,108313,15866,-22.834878800000002,-43.371325500000005
1185,105438,12623,-22.820323800000047,-43.38422680000001
1186,105426,12702,-22.820679900000002,-43.3842805
1187,108788,16426,-22.837392,-43.369190100000054
1188,110554,18496,-22.8466813,-43.36126550000001
1189,105385,12729,-22.8207985,-43.3844629
1190,106215,13592,-22.8246745,-43.38074
1191,112618,20315,-22.854844,-43.352002500000005
1192,106934,14373,-22.828178700000006,-43.3775134
1193,104848,12129,-22.818107199999996,-43.3868764
1194,112770,20551,-22.8559039,-43.3513209
1195,108241,15952,-22.8352649,-43.371646999999996
1196,110592,18492,-22.846664100000005,-43.361097400000006
1197,104618,11874,-22.8169615,-43.387906300000004
1198,106989,14370,-22.828166500000005,-43.37726599999999
1199,104851,12080,-22.817888399999998,-43.3868597
1200,104642,11852,-22.816862599999997,-43.387799000000044
1201,112123,19817,-22.8526122,-43.3542235
1202,105897,13240,-22.8230923,-43.3821669
1203,106231,13506,-22.824286800000007,-43.3806659
1204,109712,17525,-22.8423247,-43.36504610000001
1205,109982,17736,-22.843270299999997,-43.3638324
1206,112647,20295,-22.8547551,-43.35187380000001
1207,108754,16494,-22.837696,-43.3693457
1208,111850,19555,-22.8514334,-43.3554497
1209,112143,19795,-22.8525108,-43.35413350000001
1210,111557,19378,-22.8506398,-43.3567648
1211,105861,13257,-22.8231714,-43.38232779999999
1212,105945,13187,-22.8228549,-43.3819523
1213,109189,17050,-22.8401921,-43.3673931
1214,111036,18819,-22.848129599999996,-43.3591027
1215,110983,18854,-22.8482907,-43.359342299999994
1216,108728,16513,-22.8377838,-43.36946230000001
1217,106186,13612,-22.824763499999996,-43.38086869999999
1218,109757,17511,-22.8422619,-43.3648442
1219,104879,12015,-22.817594399999997,-43.386736900000045
1220,108270,15936,-22.8351914,-43.371515800000005
1221,106907,14383,-22.8282219,-43.377634300000004
1222,112096,19842,-22.8527243,-43.35434790000001
1223,107961,15570,-22.833548800000003,-43.3729044
1224,116880,25918,-22.879990499999998,-43.3328785
1225,116791,25913,-22.879969700000004,-43.333276
1226,116789,25216,-22.8768409,-43.3332834
1227,116762,26609,-22.8830941,-43.33340619999995
1228,116770,25223,-22.8768723,-43.333368500000006
1229,115060,23139,-22.867519199999997,-43.341046199999994
1230,113223,20971,-22.8577889,-43.3492867
1231,116245,24581,-22.8739913,-43.3357275
1232,116538,24978,-22.875772400000002,-43.33441189999999
1233,115061,23241,-22.867977800000002,-43.3410388
1234,115062,23165,-22.8676367,-43.3410366
1235,114244,22175,-22.863191200000003,-43.3447051
1236,116828,25918,-22.879990499999998,-43.3331092
1237,115531,23932,-22.8710785,-43.338930899999994
1238,116759,26372,-22.8820267,-43.3334203
1239,113220,21004,-22.857936699999996,-43.3493018
1240,114658,22718,-22.865628800000003,-43.34284709999996
1241,116808,25195,-22.876744600000002,-43.3332011
1242,116740,25597,-22.87855229999995,-43.3335061
1243,116521,25037,-22.876035500000004,-43.334486699999985
1244,114241,22203,-22.863319200000003,-43.3447211
1245,115759,24064,-22.8716724,-43.3379079
1246,116821,25636,-22.8787252,-43.33314130000001
1247,115556,23915,-22.871002400000002,-43.3388186
1248,114537,22615,-22.865167300000003,-43.3433904
1249,116728,25246,-22.876975599999998,-43.33355979999999
1250,116810,26363,-22.8819872,-43.33318959999999
1251,116539,24914,-22.875483000000003,-43.3344073
1252,116796,25649,-22.8787846,-43.333254
1253,113712,21658,-22.8608739,-43.34709199999999
1254,116852,25655,-22.8788093,-43.333001900000006
1255,115061,23190,-22.867745900000003,-43.341039
1256,116755,25891,-22.879871899999994,-43.3334364
1257,115062,23215,-22.8678613,-43.34103319999999
1258,116515,24993,-22.8758389,-43.334514599999956
1259,116911,25941,-22.880094300000003,-43.332739
1260,114249,22291,-22.8637121,-43.3446843
1261,116768,25621,-22.8786561,-43.33337740000005
1262,115901,24266,-22.872576799999997,-43.33727189999999
1263,116576,24989,-22.8758201,-43.3342395
1264,116221,24605,-22.8741002,-43.33583459999999
1265,114512,22610,-22.8651444,-43.3435023
1266,115507,23952,-22.871168599999997,-43.3390372
1267,116554,24891,-22.875384099999998,-43.33433759999996
1268,114681,22718,-22.865628700000002,-43.342745300000004
1269,116231,24590,-22.87403159999995,-43.3357897
1270,116748,25234,-22.876921300000003,-43.333468599999996
1271,115777,24047,-22.8715954,-43.337824600000005
1272,116936,25942,-22.880099199999997,-43.3326264
1273,116828,26638,-22.883222800000002,-43.333109199999996
1274,113170,21028,-22.858044099999997,-43.3495279
1275,116833,25183,-22.8766939,-43.3330877
1276,114562,22620,-22.865189700000006,-43.343277400000005
1277,113707,21540,-22.860343099999998,-43.347116099999994
1278,115910,24352,-22.8729632,-43.337228499999995
1279,116876,25675,-22.878898200000002,-43.3328946
1280,115583,23899,-22.8709318,-43.3386968
1281,113704,21567,-22.8604652,-43.3471291
1282,115560,23809,-22.870523800000004,-43.33879960000001
1283,115920,24333,-22.872878599999996,-43.337182600000006
1284,130012,23315,-22.8683075,-43.2739423
1285,118205,9279,-22.805315999999998,-43.3269293
1286,115091,21735,-22.861218100000006,-43.3409037
1287,117127,9978,-22.8084561,-43.3317681
1288,116624,14362,-22.8281306,-43.33402650000001
1289,120361,12397,-22.8193098,-43.31725190000001
1290,117034,10982,-22.8129582,-43.33218740000006
1291,120875,13394,-22.823784600000003,-43.3149452
1292,115776,20702,-22.856581499999997,-43.337829799999994
1293,122962,16024,-22.835586299999996,-43.305578999999994
1294,116124,18404,-22.846269799999998,-43.3362688
1295,120902,13379,-22.823715400000005,-43.3148272
1296,130365,23693,-22.870006600000004,-43.27235710000001
1297,119807,11555,-22.815532099999995,-43.319741
1298,124938,19124,-22.8494992,-43.2967116
1299,116374,16048,-22.835695100000002,-43.3351476
1300,126208,20000,-22.8534326,-43.2910146
1301,121989,15031,-22.8311318,-43.3099456
1302,126183,20035,-22.8535908,-43.2911272
1303,116911,12074,-22.8178611,-43.33273900000001
1304,121255,14870,-22.8304081,-43.313243299999996
1305,124255,17870,-22.8438722,-43.29978
1306,122918,16066,-22.835774200000003,-43.30577739999999
1307,129337,22490,-22.8646066,-43.27697180000005
1308,119304,10839,-22.812317999999998,-43.3219994
1309,117046,10602,-22.8112549,-43.3321328
1310,117294,8846,-22.803372599999996,-43.331016999999996
1311,116808,12521,-22.8198679,-43.3331984
1312,117256,8845,-22.803367600000005,-43.3311887
1313,123669,17241,-22.841049300000005,-43.3024086
1314,119534,11226,-22.814053699999995,-43.3209641
1315,117257,9138,-22.804683,-43.3311833
1316,118383,9640,-22.806938,-43.32613
1317,122695,15608,-22.833722400000003,-43.306780599999996
1318,118436,9609,-22.8067995,-43.325894000000055
1319,116504,15038,-22.831161399999996,-43.3345629
1320,122646,15638,-22.8338559,-43.3070005
1321,118160,9332,-22.8055534,-43.327133200000056
1322,116268,16947,-22.839729300000002,-43.335625099999994
1323,115367,21287,-22.8592063,-43.339664500000005
1324,119472,11192,-22.8139004,-43.321243100000004
1325,120335,12402,-22.819334499999997,-43.31737
1326,123204,16396,-22.8372574,-43.3044954
1327,120400,12390,-22.819280199999998,-43.3170803
1328,131175,23991,-22.871341100000002,-43.26872
1329,119249,10870,-22.812456500000003,-43.3222462
1330,116847,12527,-22.81989509999995,-43.3330254
1331,116417,16056,-22.8357297,-43.3349545
1332,130145,23383,-22.8686127,-43.27334419999995
1333,119294,10879,-22.812499099999997,-43.322043699999995
1334,116032,18873,-22.8483758,-43.3366819
1335,116777,13147,-22.822677,-43.3333398
1336,127726,20759,-22.8568385,-43.2842018
1337,116471,15574,-22.8335692,-43.33471310000001
1338,116190,17893,-22.843974799999998,-43.3359737
1339,129800,23084,-22.8672732,-43.2748945
1340,120665,12898,-22.8215596,-43.31588940000005
1341,116984,11475,-22.815171499999998,-43.33241099999999
1342,120634,12911,-22.821618899999997,-43.316028800000005
1343,114670,22472,-22.864526199999997,-43.3427951
1344,118712,10046,-22.8087577,-43.324654800000005
1345,115811,20530,-22.8558104,-43.3376743
1346,119007,10463,-22.8106318,-43.32332979999999
1347,118733,10024,-22.808658800000003,-43.32455830000001
1348,116551,14989,-22.8309439,-43.334353699999994
1349,124013,17673,-22.842987299999947,-43.30086359999999
1350,117886,8932,-22.803758300000002,-43.328361599999994
1351,123393,16805,-22.8390916,-43.3036478
1352,121535,14951,-22.830770800000003,-43.31198410000001
1353,121178,14268,-22.8277054,-43.3135853
1354,121581,14909,-22.830583,-43.3117802
1355,128832,21923,-22.862060999999997,-43.2792384
1356,116582,14395,-22.828279,-43.334214200000005
1357,116650,13796,-22.825589299999997,-43.33390850000001
1358,120041,11978,-22.817430899999994,-43.3186896
1359,117184,9419,-22.805944,-43.33151060000005
1360,129287,22529,-22.864781999999995,-43.2771972
1361,116060,18887,-22.8484351,-43.3365585
1362,121145,14273,-22.827728899999997,-43.313734200000006
1363,121969,15083,-22.831364100000002,-43.310036800000006
1364,124478,18242,-22.845541899999997,-43.29877679999999
1365,115133,21733,-22.8612083,-43.3407159
1366,121308,14836,-22.8302542,-43.31300200000005
1367,119006,10417,-22.8104242,-43.323335199999995
1368,116731,13138,-22.8226375,-43.33354370000001
1369,117934,8870,-22.8034814,-43.328147099999995
1370,116091,18395,-22.846230300000002,-43.336419
1371,123998,17763,-22.8433926,-43.30093340000005
1372,121211,14267,-22.827700500000002,-43.3134378
1373,130410,23664,-22.869873100000003,-43.27215329999999
1374,131177,23949,-22.871153300000003,-43.268714700000004
1375,115701,20747,-22.8567842,-43.338167799999994
1376,115384,21330,-22.859399099999997,-43.339589399999994
1377,120930,13366,-22.823661,-43.3146985
1378,116147,17910,-22.844053899999995,-43.336166899999995
1379,120093,12012,-22.817584200000002,-43.31845889999999
1380,118676,10059,-22.808817100000002,-43.3248158
1381,116933,11464,-22.8151217,-43.3326371
1382,117905,8902,-22.8036248,-43.3282758
